Name,Index,InnerIndex,Desc,Emotion,Text
name,,,,,Comet
d_place,,,,,"Planet
Vuomo"
d_tokki,0,,,,Extremely intuitive. Terrible at lying.
d_tokki,1,,,,Dreams of becoming captain of her own starship.
d_tokki,2,,,,Escaped her home planet on Chipie's freighter.
d_tokki,3,,,,Good at seeing through lies; bad at lying.
d_tokki,4,,,,"Her ""tattoo"" is actually a symbiotic slime mold."
d_tokki,5,,,,The slime attacks humans once its host dies.
d_tokki,6,,,,Her dangerous planet has a high mortality rate.
t_keisho,,,,,
t_aisatu,0,,,Neutral,"I'm {0}, age 16!"
t_suspect,0,,,Neutral,"So we gotta choose who we wanna put into cold sleep
I'm thinking maybe {0}."
t_suspect,1,,,Thinking,"It's the way {0}, like, keeps talking?
It's just like, super sketchy."
t_suspect,2,,,Smug,"{0}. I think you're totally sketchy.
Remember that."
t_suspect,3,,,Smug,"Hey {0}, why so quiet?"
t_suspect,4,,,Happy,"{0} is sketchy... Uh, I think.
I mean, I'm not sure, but maybe?"
t_suspect,5,,,Smug,"Heh, hehehe, {0}?
Something about you is totally fishy, huh?"
t_suspect,6,,,Neutral,"Oh yeah. I was gonna team up with {0}, but yeah, nope.
I mean, {0} is like, super suspicious, right?"
t_suspect,7,,,Thinking,"So like... {0} is the one who took out {1}?
I can just feel it."
t_suspect_r,0,,,Thinking,"You know, about {0}...
I feel like, things're gonna get bad with them around."
t_suspect_r,1,,,Annoyed,"Shut up, {0}.
Quit trying to do everything yourself."
t_suspect_r,2,,,Neutral,"There's nothing sketchy about {0}.
Like, so not-sketchy that it's sketchy? Ah, hold up...
So like, maybe {0} IS sketchy then?"
t_suspect_r,3,,,Hurt,"Awww...
{0} is so quiet, it's kinda sad."
t_suspect_r,4,,,Thinking,"So, like, putting my hunch aside for a sec...
Going by ""logic"", {0} is supposed to be suspicious, right?"
t_suspect_r,5,,,Surprised,"{0}, look over here real quick...
Hm... Yeeaah, you got ""lies"" written all over you."
t_suspect_r,6,,,,...
t_suspect_r,7,,,,...
t_suspect_add,0,,,Smug,"Something about {0} is just kinda fishy.
I mean... Just look at those eyes."
t_suspect_t0,0,,,Neutral,"So {0} is sketchy, huh? Well, duh."
t_suspect_t0,1,,,Smug,"{0}, what're you trying to hide?"
t_suspect_t0,2,,,Surprised,"Oh, we're on {0} now? Yup, I'm in!"
t_suspect_t0,3,,,Smug,"Hehe, what're you trying to hide? You're being so sketchy, {0}!"
t_suspect_t0,4,,,Happy,"So like...
Basically, {0} is looking real sketchy right now, huh?
OK, got it."
t_suspect_t0,5,,,Neutral,"I know, right?! {0} is totally fishy.
It's like, there's a serious stink coming off of {0}."
t_suspect_t0,6,,,Neutral,"Oh hey, so you totally got that {0} was lying, huh?
Nice one, {1}!"
t_suspect_t1,0,,,Thinking,"Well, we totally need to keep an eye on {0}."
t_suspect_t1,1,,,Neutral,"Yeah, I totally thought so, too.
It's like, {0}, why're you trying so hard?"
t_suspect_t1,2,,,Annoyed,"Hey hold up, {0} might loom sketchy, but... well, yeah.
I mean, it toally makes sense!"
t_suspect_t1,3,,,Surprised,"Oh yeah, totally.
I almost forgot {0} was even here."
t_suspect_t1,4,,,Surprised,"Hm... If {1} says so, then I guess we should like, listen?"
t_suspect_t1,5,,,Neutral,"Yeeaah, I'm starting to think {0} is kinda sketchy, too."
t_suspected0,0,,,Surprised,"What, me? Like, seriously?"
t_suspected0,1,,,Hurt,"Awww. Oh well, go ahead and hate me, I don't even care!"
t_hanron0,0,,,Annoyed,"Why are we all jumping on {0} now?
{0} is cool, you guys."
t_hanron0,1,,,Neutral,"Yeah, {1} is totally sketchy... Wait, what?
Oh, you mean {0}? But like, why?"
t_hanron1,0,,,Thinking,"I mean, {0} might seem kinda suspicious...
But there's definitely fishier people here, right?"
t_hanron_t0,0,,,Neutral,"I don't think we should all jump on {0} like this.
I just wanna, like, take it easy!"
t_hanron_t1,0,,,Neutral,"Buck up there, {0}! I got your back!"
t_trust,0,,,Neutral,"{0} smells so good, you know?
Like, freshly cut grass out in the sun..."
t_trust,1,,,Happy,"Well, uh... I guess...
If I had to choose, I think {0} is safe, right?"
t_trust,2,,,Smug,"I don't sense any lies from {0} just yet.
I think {0} might be the real thing."
t_trust_r,0,,,Surprised,"You know, I think {0} might actually be pretty cool."
t_trust_r,1,,,Happy,"Huh? I guess {0} isn't so sketchy after all.
Sorry for doubting you!"
t_trust_r,2,,,Neutral,"Yeah, {0}...
I think they're being pretty honest."
t_trust_t0,0,,,Smug,"Hehe, nice!
I'm kind of a {0} fan myself."
t_trust_t1,0,,,Neutral,"OK then, I'm gonna get behind {0}, too."
t_trusted0,0,,,Surprised,"Ah, really?"
t_thanron0,0,,,Surprised,"{0}? Yeah, nope."
t_thanron1,0,,,Neutral,"I don't buy it.
I mean, it was {1} who brought this up, right?
I feel like there's something behind this."
t_thanron_t0,0,,,Thinking,Yeah. {0} actually does seem pretty sketchy.
t_thanron_t1,0,,,Hurt,Same here. Something just feels kinda off here.
t_hosho,0,,,Neutral,"It's pretty obvious that {0} is definitely {1}.
Any objections?"
t_hosho,1,,,Neutral,{0} is human. I think we can agree on this.
t_hosho_enemy,0,,,Neutral,"{0} is lying.
There's no way you're {1}."
t_hosho_enemy,1,,,Thinking,{0} is... {1}. They have to be.
t_hosho_enemy,2,,,,{0} is {1}. AC.
t_hosho_enemy,3,,,,{0} is {1}. Bug.
