Name,Index,InnerIndex,Desc,Emotion,Text
name,,,,,Shigemichi
d_place,,,,,"Planet
Shangun"
d_tokki,0,,,,"Kind, positive personality. Weirdly charismatic."
d_tokki,1,,,,Covered body in artificial skin after accident.
d_tokki,2,,,,Artificial skin can be used as a spacesuit as well.
d_tokki,3,,,,"Set to go back in time and become a ""Little Grey""."
d_tokki,4,,,,Collector and master of retro games.
d_tokki,5,,,,In love with Stella.
d_tokki,6,,,,Has never had an actual girlfriend before.
t_keisho,,,,,
t_aisatu,0,,,,Yo! I'm {0}. Nice to meetcha!
t_suspect,0,,,Annoyed,{0}! There's just somethin' fishy aboutcha!
t_suspect,1,,,Annoyed,"{0}, You're really standin' out there, bud!
You tryin' to get one over on us, huh?!"
t_suspect,2,,,Thinking,"Well everything's just turnin' up {0} now, isn't it?!
I don't really {0}, myself."
t_suspect,3,,,Annoyed,"Hey, I just noticed.
{0} isn't really sayin' much, right?! Somethin's fishy here!"
t_suspect,4,,,Neutral,"The way I see it... {0}'s lookin' pretty fishy there.
I betcha there's somethin' goin' on there."
t_suspect,5,,,Thinking,"I didn't wanna have to say it, but {0}'s lookin' pretty strange.
Sorry if it's just me bein' weird..."
t_suspect,6,,,Hurt,"{0}... You tricked me, didn'cha?
I can't just let that go... And I was so happy to partner up with ya..."
t_suspect,7,,,Annoyed,"I'll avenge ya, {1}...
{0}!!! You're lookin' pret-ty, pret-ty guilty to me, ya know?!"
t_suspect_r,0,,,Thinking,"Me, I think {0}'s human.
But, ya know, one of the bad ones..."
t_suspect_r,1,,,Neutral,"Ya know, {0}'s been weirdly loud - or maybe loudly weird, huh?"
t_suspect_r,2,,,Neutral,"I wanna think {0}'s solid.
But my sixth sense is screamin' ""Not {0}""."
t_suspect_r,3,,,Annoyed,"{0}, you're bein' pretty quiet, bud!
You might wanna speak up a bit."
t_suspect_r,4,,,Thinking,"I mean, I wanna trust {0}.
But thinkin' about everything goin' on, it's gettin' pret-ty, pret-ty hard..."
t_suspect_r,5,,,Neutral,"Hmm... So {0}'s pretty fishy, right?
I'm startin' to get that feelin'..."
t_suspect_r,6,,,,...
t_suspect_r,7,,,,...
t_suspect_add,0,,,Neutral,"Maybe not actual ""Gnosia""...
But {0} looks kinda alien-y, don'cha think?"
t_suspect_t0,0,,,Happy,"I know, right?! {0}'s actin' weird, right? Right?!"
t_suspect_t0,1,,,Neutral,"Yeah, {0}.
Gimme a chance to talk, too!"
t_suspect_t0,2,,,Thinking,"Me too, me too! Somethin' about {0}'s been botherin' me."
t_suspect_t0,3,,,Happy,"Ya know, now that you mention it, you're right.
Found the creeper!"
t_suspect_t0,4,,,Thinking,"Huh? Oh yeah, totally! {0}'s been actin' weird."
t_suspect_t0,5,,,Neutral,"{0}, huh? Yeeaah, I'm gettin' a weird vibe, too."
t_suspect_t0,6,,,Hurt,"Right? {0}'s lookin' kinda weird.
Treatin' me like a liar and stuff..."
t_suspect_t1,0,,,Neutral,"Ya know, I'm startin' to think about {1} myself.
I'm thinkin' {0}'s kinda fishy, too..."
t_suspect_t1,1,,,Thinking,"{0}'s eatin' up all our time with all that talkin'.
Ah...! Or maybe that's just what you're goin' for, huh?!"
t_suspect_t1,2,,,Thinking,"Is {0} that suspicious?
Hm... Actually... Kinda, yeah... Yup, definitely suspicious."
t_suspect_t1,3,,,Thinking,"Hey now, {0}. C'mon now, you gotta say somethin', bud!"
t_suspect_t1,4,,,Thinking,"I don't really know nothin' about probability and stuff.
But I feel like {0}'s lookin' pretty fishy..."
t_suspect_t1,5,,,Neutral,"Hmm... If {1} says so, then that may be right."
t_suspected0,0,,,Hurt,So you're suspectin'... me?! Wh-what the hell?!
t_suspected0,1,,,Thinking,"I'm used to people gettin' creeped out by me, but...
That don't mean it don't hurt, ya know?"
t_hanron0,0,,,Annoyed,"Hey, quit pickin' on {0} like that!
Some people are just misunderstood, ya know?!"
t_hanron0,1,,,Happy,"Hey, lay off {0} a bit, huh?"
t_hanron1,0,,,Annoyed,"Hey hold up!
If anybody's gonna mess with {0}, it's gonna be me!"
t_hanron_t0,0,,,Smug,"Hey! {0}'s my buddy, OK?!"
t_hanron_t1,0,,,Smug,"I don't know about that.
Is {0} really that fishy? I just don't see it, ya know?"
t_trust,0,,,Annoyed,"I don't care what anybody says, I trust {0}!
And I know what I'm talkin' about...!"
t_trust,1,,,Happy,"I've been thinkin' about it...
I think {0} is OK."
t_trust,2,,,Smug,"Ya know, I think {0} is definitely alright."
t_trust_r,0,,,Smug,"{0}. I believe ya, bud.
Us humans gotta be honest with our feelings, ya know?"
t_trust_r,1,,,Hurt,"Ya know, I had actually been thinkin' you were suspicious, {0}
I'm sorry! I thought about it, and I was wrong."
t_trust_r,2,,,Smug,"{0} is pretty alright after all.
The more I think about it, the more it's clear."
t_trust_t0,0,,,Smug,Right? {0} is good people.
t_trust_t1,0,,,Smug,"Yeah, I'm gonna trust {0}, too."
t_trusted0,0,,,Hurt,"What? Me?! Y-you're...
Ya know, honestly I'm really happy."
t_thanron0,0,,,Thinking,"Hey hold up! Really?!
I just don't feel like I can trust {0}..."
t_thanron1,0,,,Neutral,"Seriously, you guys OK with trustin' {0}?
I really just can't get behind that, ya know?"
t_thanron_t0,0,,,Neutral,"Trust {0}, huh...? Yeeaah, hmm...
Sorry, but I just can't."
t_thanron_t1,0,,,Thinking,"That's a nope from me, bud.
Sorry, but I just can't get behind that."
t_hosho,0,,,Neutral,"It's pretty obvious that {0} is definitely {1}.
Any objections?"
t_hosho,1,,,Neutral,{0} is human. I think we can agree on this.
t_hosho_enemy,0,,,Neutral,"{0} is lying.
There's no way you're {1}."
t_hosho_enemy,1,,,Thinking,{0} is... {1}. They have to be.
t_hosho_enemy,2,,,,{0} is {1}. AC.
t_hosho_enemy,3,,,,{0} is {1}. Bug.
t_hosho_enemy,4,,,,Something about {0} is wrong.
t_hosho_enemy,5,,,Neutral,"{0} is not Gnosia. This is a fact.
But {0} is lying. This is also a fact."
t_hosho_miss,0,,,Annoyed,"Nope, I just don't get it...
{0}'s story just doesn't make sense!"
t_hosho_miss,1,,,Neutral,"Hey now {0}, even I know that.
What's the point in restating the obvious?"
t_hosho_get,0,,,Smug,"So you're sayin' that I'm definitely {1}, right?!
Hey, thanks {0}!"
t_hosho_get,1,,,Hurt,"So, uh... ya got me, huh? Is it all over now?
Damn, lyin' is hard work..."
t_tohyo_go,0,,,Thinking,"So nobody's got anything to say, huh?
Now we're just wastin' time. Let's keep it movin'!"
t_tohyo_mae,0,,,Thinking,"Hey, we're all outta time!
We gotta decide who's goin' into cold sleep!"
t_tohyo_sai,0,,,Neutral,"So {0} are tied, huh?
OK, I guess we gotta do one more final vote."
t_shokei,0,,,Annoyed,"Aaaw, dammit!
How come you guys don't trust me?!
Guess I got some reflectin' to do while I sleep!"
t_shokei,1,,,Hurt,"I guess I kinda screwed myself, huh..."
t_wakare,0,,,Hurt,"See ya, {0}... We'll meet again... in Valhalla!"
t_karare,0,,,Surprised,"What?! So YOU were {0}?!
Dammit! I really screwed up on this one!"
t_imjinro,0,,,Gnosia,"Actually, I'm an alien... {0}.
Surprised, huh? Sorry for hidin' it!"
t_shori,0,,,Smug,We win! The humans win!
t_tohyo_kurikaeshi,0,,,Neutral,"Hey, now we're just goin' in circles!
Let's put the vote aside for a sec and think about what to do!"
t_tohyo_jeno,0,,,Thinking,"Like, for example, put {0} into cold sleep, maybe...?"
t_tohyo_alive,0,,,Happy,"If we can't come to an agreement, let's just pass on the cold sleep!
How 'bout we just skip it this time?"
t_tohyo_jeno_ok,0,,,Thinking,"Cold sleep for everyone, huh...
I mean, I guess we got no choice, do we?!"
t_tohyo_jeno_ng,0,,,Neutral,"Hey now, I think puttin' everyone in cold sleep is goin' a bit too far!"
t_tohyo_alive_ok,0,,,Smug,I'm OK with skippin' cold sleep for everyone this time.
t_tohyo_alive_ng,0,,,Thinking,"But, like... Hmm...
Let's take a little more time to think about this, huh?"
t_tohyo_jeno_kettei,0,,,Surprised,"Wait, what?! I mean, I guess it kinda was my idea, but everyone...?!
Sorry, you guys...!"
t_tohyo_alive_kettei,0,,,Happy,"OK, so nobody goes into cold sleep this time then!"
t_tohyo_hitei,0,,,Neutral,"Damn... Well, that's just how it goes sometimes, I guess."
t_tohyo_dame,0,,,Thinking,"Well, we're runnin' outta time.
I guess we'll just have to skip the cold sleep this time."
t_tohyo_dame,1,,,,...
t_co,0,,,,...
t_co,1,,,Smug,"I'm the {0}, so I can work the ship's systems.
I'm gonna look into just who here's Gnosia."
t_co,2,,,Neutral,"By the way, I'm actually the {0}...
If the Gnosia goes into cold sleep, I can use the medical system to find out!"
t_co,3,,,Happy,"Hehehe, don't this here gun make it obvious?
I'm the {0}!"
t_co,4,,,Smug,"I can guarantee that I'm not Gnosia!
I was in my room the whole time the ship was docked at the station!
I don't really have any friends, so..."
t_co,5,,,,dammy
t_co,6,,,,dammy
t_co,7,,,,dammy
t_co,8,,,,dammy
t_co_find,0,,,,dammy
t_co_find,1,,,Neutral,"Hey, I was messin' with the {0} gear, and it said that {1}'s Gnosia...
That machine isn't broken or anything, is it?!"
t_co_find,2,,,Neutral,"Oh yeah, I'm actually the {0}.
I checked out {1} in cold sleep, and welp, Gnosia! What a surprise, huh?"
t_co_find,3,,,,dammy
t_co_find,4,,,,dammy
t_co_find,5,,,,dammy
t_co_find,6,,,,dammy
t_co_find,7,,,,dammy
t_co_find,8,,,,dammy
t_co_taiko,0,,,,dammy
t_co_taiko,1,,,Annoyed,"Hey hold up! The {0} is ME!
{1} stop lyin'!"
t_co_taiko,2,,,Surprised,"Hey wait a sec! The {0} is ME!
What're you blabberin' about, {1}?"
t_co_taiko,3,,,,dammy
t_co_taiko,4,,,Happy,"I can vouch that {1} stayed back on the ship!
I was here the whole time, too."
t_co_taiko,5,,,,dammy
t_co_taiko,6,,,,dammy
t_co_taiko,7,,,,dammy
t_co_taiko,8,,,,dammy
t_co_req,0,,,Neutral,"By the way, who here's the {0}?"
t_co_after,0,,,Smug,"Oh, so {1} is the {0}, huh?
You gotta find that Gnosia for us! We're countin' on ya!"
t_co_after,1,,,Thinking,"Hold up, there's no way {1} are both the {0}...
Hey, one of these two is lyin'!"
t_co_after,2,,,Surprised,"That's too many {0}s!
You guys better straighten yourselves out!"
t_uranai_o,0,,,Annoyed,"Gettin' killed when I'm tryin' to investigate you?! C'mon, bud!"
t_uranai_s,0,,,,"Oh hey, it's my turn to report.
"
t_uranai_b,0,,,,"I checked out someone else.
"
t_uranai_t,0,,,Thinking,{1} is {0}. We gotta watch out for this one!
t_uranai_f,0,,,Happy,"{1} was human, just like me.
OK, next I'm gonna find the {0}!"
t_uranai_n,0,,,Hurt,Just... who am I supposed to check out? I don't even know anymore!
t_reibai_s,0,,,,"Hey, here's goes my report. So yesterday I checked out the cold sleeper...
"
t_reibai_s,1,,,,...
t_reibai_t,0,,,Smug,"{1}, right? Yeah, {1} {3} {0}.
We're one step closer to victory!"
t_reibai_f,0,,,Hurt,"Turns out {1} {5} {0}.
Sorry, {1}..."
t_reibai_ft,0,,,Smug,"{0} mixed in with {1}...
{2} {4} the {0}!"
t_reibai_ff,0,,,Hurt,{1}. None of them were {0}...
t_houkoku_s,0,,,Happy,"Yup, same here. I got the same results."
t_houkoku_w,0,,,Annoyed,Hey! You're tryin' to pull one over on us!
