Name,Index,InnerIndex,Desc,Emotion,Text
name,,,,,Chipie
d_place,,,,,"Planet
Hans"
d_tokki,0,,,,"Balanced, well-rounded personality. Perceptive."
d_tokki,1,,,,The flesh of his neck is fused with a cat.
d_tokki,2,,,,Underwent surgery to attain the body of a cat.
d_tokki,3,,,,Worked as crewmember of a freight vessel.
d_tokki,4,,,,"Plans to surgically complete ""felinification""."
d_tokki,5,,,,Raised in a cat-filled environment.
t_keisho,,,,,
t_aisatu,0,,,,I'm Chipie. Just a regular ol' cat guy.
t_suspect,0,,,Hurt,"It's just a hunch, but...
{0} is pretty suspicious..."
t_suspect,1,,,Thinking,"You're talking too much, {0}.
Not really the best time to stand out, eh?"
t_suspect,2,,,Thinking,"Hey, things're leaning a bit far toward {0}, eh?
Personally, {0} kinda rubs me the wrong way."
t_suspect,3,,,Neutral,"{0}? You're pretty quiet, you feelin' OK?"
t_suspect,4,,,Thinking,I feel like it wouldn't hurt to keep an eye on {0} for now.
t_suspect,5,,,Neutral,"{0}. If something's botherin' ya, speak up."
t_suspect,6,,,Hurt,"Hey {0}.
I wanted to trust you.
But... Sorry. I just can't."
t_suspect,7,,,Annoyed,"Honestly, {0} looks real sketchy.
Ya know, since {1} got done..."
t_suspect_r,0,,,Annoyed,"Look, I really wanna trust {0}.
But... Something's just off."
t_suspect_r,1,,,Hurt,"Take it easy, {0}.
Don't start goin' all crazy now."
t_suspect_r,2,,,Neutral,"If we all trust {0}, we could get tripped up.
I'm gonna go ahead and doubt {0}."
t_suspect_r,3,,,Neutral,"{0}. You got some kinda agenda?
Nothin' good'll come from stayin' quiet."
t_suspect_r,4,,,Thinking,"Careful there, {0}.
You're startin' to look kinda sketchy."
t_suspect_r,5,,,Happy,"Tryin' a bit hard there, eh, {0}?
Haha, let's all keep calm."
t_suspect_r,6,,,,...
t_suspect_r,7,,,,...
t_suspect_add,0,,,Neutral,"You don't look so hot, {0}.
Something botherin' ya?"
t_suspect_t0,0,,,Thinking,"Yeah, somethin' about {0} bothers me, too."
