Name,Index,InnerIndex,Desc,Emotion,Text
name,,,,,Jonas
d_place,,,,,Earth
d_tokki,0,,,,"Generally high abilities, but this isn't apparent."
d_tokki,1,,,,Was on a legendary ship almost 1000 years ago.
d_tokki,2,,,,"Owner of interstellar cruiser ""D.Q.O.""."
d_tokki,3,,,,Former space exploration age hero; current weirdo.
d_tokki,4,,,,Has a strong affinity for Kukrushka.
d_tokki,5,,,,"As a video game addict, was a hermit for 100 years."
d_tokki,6,,,,"Worships Kukrushka as a ""sacred miracle doll""."
t_keisho,,,,,
t_aisatu,0,,,Happy,I am {0}. Greetings.
t_suspect,0,,,Thinking,"What we need to do is clear: purge the {0}.
One could even say that it's my solemn duty..."
t_suspect,1,,,Happy,"You sure are being talkative, {0}
Some sort of... camouflage, perhaps?"
t_suspect,2,,,Neutral,"Blossoming into full believability...
Is {0} perhaps a flower of betrayal?"
t_suspect,3,,,Happy,"{0}. Staying quiet will only exacerbate the situation.
Nay... perhaps that's exactly what you want?"
t_suspect,4,,,Surprised,"We now must rely on logical consequence.
Yes, probability states that {0} should be target of suspicion..."
t_suspect,5,,,Thinking,"What's the matter, {0}?
Come, don't hold it all in - share with us..."
t_suspect,6,,,Annoyed,"{0}. Our alliance has fizzled to its end.
Now I am not betraying you, you see.
You... YOU betrayed JONAS!"
t_suspect,7,,,Hurt,"Last night's attack on {1}...
I hereby accuse... {0} of this heinous act of treachery!"
t_suspect_r,0,,,Happy,"Presently... from inside my guts sprouts a bud of doubt toward {0}.
I just may let it blossom into full bloom!"
t_suspect_r,1,,,Neutral,"Your silvery tongue is indeed sharp, {0}.
Perhaps even, dare I say it, super-duper sharp...?"
t_suspect_r,2,,,Hurt,"An attack on {0} would not likely be met with substantial resistance.
This... is my Rubicon.
Lo! {0}! I hereby full-on accuse thee!"
t_suspect_r,3,,,Hurt,"Persisting in silence is {0}'s way.
However... in such dire straits as these, it is simply not cool."
t_suspect_r,4,,,Thinking,"Our suspicions should be chucked toward {0}.
As much as my balls do feel kicked to say it, alas, it's true."
t_suspect_r,5,,,Happy,"Further contemplation tells me that {0} is, indeed, sketchy.
Hehe, 'tis said: ""A wise man changes his mind; a dumbass... like, doesn't."""
t_suspect_r,6,,,,...
t_suspect_r,7,,,,...
t_suspect_add,0,,,Hurt,"My sixth sense has been whispering in my ear.
""Do not trust {0},"" it warns."
t_suspect_t0,0,,,Neutral,"Maybe it's just my feelings toward {0}...?
But it's just as {1} said not a moment ago."
t_suspect_t0,1,,,Thinking,"Methinks {0} doth spout bullshit too much.
Hm, maybe it's from fear of being purged...?"
t_suspect_t0,2,,,Neutral,"I agree.
{0} is akin to a snake in one's own bosom."
t_suspect_t0,3,,,Happy,"Hiding in the shadows, waiting to pounce, are we?
Well not today, {0}. Hah! Not. To-day..."
t_suspect_t0,4,,,Happy,"Well, {0}?
Has {1}'s assessment not hit the mark right on the... mark...?"
t_suspect_t0,5,,,Hurt,"I do harbor my own doubts about {0}...
I can feel it; something squishy, in my very guts."
t_suspect_t0,6,,,Annoyed,"What say you, {0}? Does it not torment you so?
You've made an enemy of me, hence...
SUCK IT."
t_suspect_t1,0,,,Smug,"For {1}...
I shall submit my approval of a purge of the scoundrel {0}!"
t_suspect_t1,1,,,Happy,"Tis said that the tongue wounds more than a lance.
Thus I, too, shall be wary of Lance - and his tongue."
t_suspect_t1,2,,,Thinking,"{0} is our ENEMY, you say?! Well, yeah, OK, I get that..."
t_suspect_t1,3,,,Happy,"Hah! I see you waver, {0}.
Hehe, yes, and WAVER, you SHALL... or something."
t_suspect_t1,4,,,Hurt,"Mathematically speaking, {0} draws suspicion...
'Tis said the mathematics is the king of scholarship...
And the king is, like, super smart..."
t_suspect_t1,5,,,Hurt,"Oh, how I pity you, {0}.
To be doubted by someone such as me..."
t_suspected0,0,,,Happy,"As much doubt as you seem to cast upon me, I assure you...
I'm heaping it upon myself pretty hardcore, too."
t_suspected0,1,,,Happy,"Lo! What is this, now?
Hehe, I seem to have fallen out of favor."
t_hanron0,0,,,Neutral,"To believe or not to believe {0}...
Should we not choose to believe, lacking evidence otherwise?"
t_hanron0,1,,,Happy,"So {0} is suspicious, say you...
But are these words spoken by {1} in verity?
Or... like... NOT verity...?"
t_hanron1,0,,,Smug,"Lo! The gamble has begun.
To bet my chips on ""Yeah, {0} is cool""."
t_hanron_t0,0,,,Happy,"I, too, place my trust in {0}.
I mean, like, comparatively."
t_hanron_t1,0,,,Happy,"Ah! So {0} is not to be the object of our doubt, you say?
Interesting. Yeah sure, I'm down, bro."
t_trust,0,,,Smug,"{0}... My friend and companion.
Trust you, I shall. Natch."
t_trust,1,,,Hurt,"I can hear the whispers of logical conclusion...
They say, ""Yup, trust {0}."""
t_trust,2,,,Neutral,"The compass of my heart points straight to {0}.
Let us trust {0} in full!"
t_trust_r,0,,,Hurt,"Alas... {0}, I trust you.
I believe you shall lead me to the promised land..."
t_trust_r,1,,,Neutral,"And now, for a directional shift. I believe {0}.
I mean, it's like, only logical and stuff, right?"
t_trust_r,2,,,Smug,"Do your hearts not tire running the marathon that is doubt?
{0}, I quench my thirst with the electrolytes of ""trusting you""!"
t_trust_t0,0,,,Happy,"I trust {0}... I guess.
OK, fine. Yeah. Definitely."
t_trust_t1,0,,,Neutral,"I agree.
I myself am not fit to disbelieve the mouth sounds of {0}."
t_trusted0,0,,,Hurt,Lo! A comfy wind bloweth right up in my face!
t_thanron0,0,,,Happy,"Just what could lead one to trust the words of {0}?
Alas, I have no idea like, whatsoever."
t_thanron1,0,,,Thinking,"To believe {0}. A proposal too attractive to accept.
Attractive, like... um... a flower... with... Thorns! That's it!"
t_thanron_t0,0,,,Hurt,"The trusting heart is a thing of beauty...
But sometimes, it's also, like... super wrong, or something."
t_thanron_t1,0,,,Hurt,"How I wish that I, too, could trust one unconditionally.
As I did that time... You know, that one time... Uh..."
t_hosho,0,,,Happy,"Thus, it hath been... proventh...ed...
{0} is the true {1}."
t_hosho,1,,,Happy,"Thus, it hath been... proventh...ed...
{0} is human."
t_hosho_enemy,0,,,Happy,"Thus, it hath been... proventh...ed...
{0} is like, totally not {1}."
t_hosho_enemy,1,,,Annoyed,"Thus, it hath been... proventh...ed...
{0} is {1}!"
t_hosho_enemy,2,,,Happy,"Thus, it hath been... proventh...ed...
{0} is {1}. 100%."
t_hosho_enemy,3,,,Happy,"Thus, it hath been... proventh...ed...
{0} is nothing other than {1}."
t_hosho_enemy,4,,,Happy,"Thus, it hath been... proventh...ed...
{0} is a liar, liar... Pants... on fire."
t_hosho_enemy,5,,,Happy,"Thus, it hath been... proventh...ed...
{0} is not Gnosia, and yet, also, totally fibbing, though."
t_hosho_miss,0,,,Smug,"{0}. This proves nothing.
C'mon, try harder, buddy."
t_hosho_miss,1,,,Hurt,"Alas, {0}, as a wise man once said, ""no doy"".
Have you not something else you maybe wanna spit out?"
t_hosho_get,0,,,Neutral,"I thank you for that, {0}.
My righteousness hath doth... beenth... proventh...ed."
t_hosho_get,1,,,Annoyed,"Thus, it hath been... proventh...ed... I guess.
Hehe, nice one, {0}."
t_tohyo_go,0,,,Hurt,"This silence... It comforts me.
One last savory taste of you guys shutting up before the vote."
t_tohyo_mae,0,,,Smug,"Hark! The bells of ""time to vote, y'all"" ring loud and true!"
t_tohyo_sai,0,,,Happy,"A second vote, eh?
So like, for {0}, right?"
t_shokei,0,,,Happy,"Hehe... I'm personally quite fond of silence myself.
To sleep - perchance to dream... Hell yeah, let's do it."
t_shokei,1,,,Hurt,"And now... to dream.
A true dream, no longer tinged by lies..."
t_wakare,0,,,Thinking,"{0} - my friend...
May the bumper cars of fate let us bonk heads once again."
t_karare,0,,,Annoyed,"Aha! So you finally show yourself before me, {0}.
Now, let us play!"
t_imjinro,0,,,Gnosia,"Away withy the filthy world! We shall play in Paradise!
Hahahahaha! {0} is absolutely the scene, you guys!"
t_shori,0,,,Happy,"{0} is no more; 'tis known.
Now, my time of childlike play must also end..."
t_tohyo_kurikaeshi,0,,,Thinking,"Ah, so a decision cannot be reached...
What to do,what to do...?"
t_tohyo_jeno,0,,,Smug,"Fear not, {0}.
After you have been put to sleep, I shall take over in your stead.
Now you need only take a chilly little nap, 'kay?"
t_tohyo_alive,0,,,Neutral,Let us remain calm and await our enemy's next move.
t_tohyo_jeno_ok,0,,,Neutral,"Ah, yes.
To the ice box for all. I, too, shall place my chips on this bid."
t_tohyo_jeno_ng,0,,,Happy,"Lo! 'Tis said: Waste makes... I mean, Hasty waste is... Uh...
Let's just not do this, 'kay guys?"
